BUG_ID,SEVERITY,CATEGORY,TITLE,LOCATION,ISSUE_DESCRIPTION,CURRENT_BEHAVIOR,EXPECTED_BEHAVIOR,ROOT_CAUSE,SOLUTION,TIME_EST,EFFORT,IMPACT,STATUS
BUG-001,CRITICAL,Missing Asset,Resume/CV File Not Found,Hero.jsx lines 98-102,Links reference /Nazir-Resume.pdf that doesn't exist,Download links fail silently - no error shown,File exists and downloads successfully,File not added to public folder,Add Nazir-Resume.pdf to public folder and verify before build,5 minutes,Easy,High,Open
BUG-002,CRITICAL,Security,EmailJS Public Key Exposed,Contact.jsx line 23,Private API key hardcoded in frontend source code,API key visible in browser console and source code,API key stored in environment variables,Security best practice not followed,Move to .env file as VITE_EMAILJS_PUBLIC_KEY and load via import.meta.env,10 minutes,Easy,High,Open
BUG-003,CRITICAL,Code Quality,Unused Suspense Import,App.jsx line 1,Suspense imported from React but never used,Unused import increases bundle size,Clean imports only,Developer oversight,Remove unused import from line 1,5 minutes,Easy,Low,Open
BUG-004,CRITICAL,Code Quality,Unused Icon Imports,Navbar.jsx line 2,Database Code Server icons imported but never used,Unused icons in bundle,Clean imports,Developer oversight,Remove Database Code Server from lucide-react import,5 minutes,Easy,Low,Open
BUG-005,CRITICAL,Architecture,No Error Boundary,App.jsx,Single component error crashes entire application,App crashes on component error,Graceful error handling with error page,Missing error boundary wrapper,Implement React Error Boundary component,20 minutes,Easy,High,Open
BUG-006,CRITICAL,Performance,Unnecessary Bootstrap CSS,index.html line 16,Bootstrap 5.3 loaded but only Tailwind used,50KB wasted bandwidth on unused CSS,Remove unnecessary dependency,Copied from template,Remove Bootstrap CDN link from index.html,2 minutes,Easy,Medium,Open
BUG-007,CRITICAL,Configuration,Unused Environment Variable,vite.config.js,GEMINI_API_KEY defined but never used in application,Misleading configuration that's never implemented,Either use variable or remove from config,Incomplete setup,Either implement Gemini API usage or remove from vite.config.js,10 minutes,Easy,Low,Open
BUG-008,CRITICAL,Form Validation,No Input Validation,Contact.jsx lines 70-115,Form submits empty or invalid data,Empty submissions allowed spam - soft UX failure,Validate name email message before submission,Missing validation logic,Add form validation before handleSubmit,30 minutes,Medium,High,Open
BUG-009,HIGH,Memory Leak,Hero Typing Animation Memory Leak,Hero.jsx lines 17-28,useEffect has missing dependency causing re-renders,Browser slows down - potential crash on low-end devices,Proper dependency array prevents re-renders,Incomplete dependency array in useEffect,Add all dependencies: text isDeleting loopNum typingSpeed words,15 minutes,Medium,High,Open
BUG-010,HIGH,UX,No Loading State for 3D Canvas,Hero.jsx lines 68-70,Canvas3D component takes time to render causing blank screen,White blank screen while 3D canvas loads,Show skeleton loader while loading,Missing loading state management,Add loading indicator while Canvas3D renders,20 minutes,Medium,Medium,Open
BUG-011,HIGH,UX,Missing Resume File Fallback,Hero.jsx lines 95-115,No fallback if resume file doesn't exist,Silent failure - buttons don't work,Show error message or disable buttons,No error handling for missing file,Check file existence at build time - show fallback UI,15 minutes,Medium,Medium,Open
BUG-012,HIGH,Error Handling,Contact Form Network Errors,Contact.jsx lines 48-66,No retry mechanism for failed email submissions,User can't retry - must manually refresh,Auto-retry with exponential backoff,Missing retry logic,Add retry button and exponential backoff logic,25 minutes,Medium,High,Open
BUG-013,HIGH,Persistence,Dark Mode Not Persisting,App.jsx lines 15-24,Theme resets to dark mode on every page reload,Theme choice lost on refresh - bad UX,Theme persists across sessions,Missing localStorage implementation,Save theme to localStorage and load on mount,20 minutes,Easy,Medium,Open
BUG-014,MEDIUM,Accessibility,Missing ARIA Labels,All components,Buttons and icon-only elements lack aria-labels and roles,Screen readers can't understand interactive elements,All interactive elements have proper ARIA labels,Accessibility not considered,Add aria-label="" role="button" to all buttons,1 hour,Medium,High,Open
BUG-015,MEDIUM,Accessibility,Missing Image Alt Text,About.jsx Projects.jsx,Images don't have proper alt text for accessibility,Screen reader users get no image context,All images have descriptive alt text,Task incomplete,Add meaningful alt text to img tags,20 minutes,Easy,Medium,Open
BUG-016,MEDIUM,Performance,No Image Optimization,About.jsx Projects.jsx,Using external picsum.photos + no lazy loading,External service dependency + slow load times,Local optimized images with WebP format,Performance not optimized,Replace with local images add lazy loading and WebP,1 hour,Medium,High,Open
BUG-017,MEDIUM,SEO,Missing SEO Meta Tags,index.html,No OG tags description keywords for social sharing,Poor SEO score - no rich preview on social sharing,Complete OG meta tags and descriptions,SEO not implemented,Add meta tags for OG description keywords,20 minutes,Easy,Medium,Open
BUG-018,MEDIUM,UX,No Loading Skeletons,Projects.jsx Experience.jsx,Cards load abruptly without placeholder,Jarring layout shift as content loads,Smooth skeleton animation while loading,Loading states not implemented,Add skeleton components for cards,45 minutes,Medium,Medium,Open
BUG-019,MEDIUM,Code Quality,Bootstrap + Tailwind Mix,Multiple files,Using Bootstrap grid (col-lg-6) alongside Tailwind classes,Inconsistent styling - confusion for maintainers,Pure Tailwind CSS throughout,Gradual migration from Bootstrap,Convert all Bootstrap classes to Tailwind equivalents,2 hours,Medium,Low,Open
BUG-020,LOW,Analytics,No Analytics Tracking,Throughout app,No Google Analytics or user event tracking implemented,No data on user behavior and performance,Track page views and user interactions,Not prioritized initially,Add Google Analytics 4 with event tracking,45 minutes,Easy,Low,Open
BUG-021,LOW,Features,No Service Worker,App level,No offline support or asset caching,App doesn't work offline,Service worker caches assets for offline,Not implemented,Create service worker for offline support,1.5 hours,Medium,Low,Open
BUG-022,LOW,UX,No Toast Notifications,Contact.jsx,Contact form success/error shown in alert box,Poor UX with browser alert,Smooth toast notifications appear and dismiss,Toast library not integrated,Add toast library (react-hot-toast or similar),30 minutes,Easy,Low,Open
BUG-023,LOW,UX,No Smooth Scroll Behavior,index.html,When clicking nav links jumps instantly to section,Jarring navigation experience,Smooth scroll animation to sections,CSS not configured,Add scroll-behavior: smooth to html CSS,2 minutes,Easy,Low,Open
